backend,platform,configuration,width,height,render_ms,frame_ms,render_fps,frame_fps
CPU,Win64,Release,7680,4320,4341.04,4424.12,0.230359,0.226033
CPU,Win64,Release,7680,4320,4248.37,4283.93,0.235385,0.233431
CPU,Win64,Release,7680,4320,4233.42,4242.37,0.236216,0.235717
CPU,Win64,Release,7680,4320,4250.41,4259.84,0.235271,0.23475
CPU,Win64,Release,7680,4320,4232.78,4243.42,0.236251,0.235659
CPU,Win64,Release,7680,4320,4245.55,4255.48,0.235541,0.234991
CPU,Win64,Release,7680,4320,4245.62,4255.78,0.235537,0.234975
CPU,Win64,Release,7680,4320,4293.38,4304.29,0.232917,0.232326
CPU,Win64,Release,7680,4320,4302.39,4315.22,0.232429,0.231738
CPU,Win64,Release,7680,4320,4303.45,4313.86,0.232372,0.231811
CPU,Win64,Release,7680,4320,4295.1,4304.76,0.232823,0.232301
CPU,Win64,Release,7680,4320,4286.6,4296.02,0.233285,0.232773
CPU,Win64,Release,7680,4320,4290.7,4300.01,0.233062,0.232558
CPU,Win64,Release,7680,4320,4282.03,4293.52,0.233534,0.232909
CPU,Win64,Release,7680,4320,4320.87,4330.25,0.231435,0.230934
CPU,Win64,Release,7680,4320,4285.46,4294.39,0.233347,0.232862
CPU,Win64,Release,7680,4320,4305.21,4314.52,0.232277,0.231776
CPU,Win64,Release,7680,4320,4314.41,4324.15,0.231781,0.23126
CPU,Win64,Release,7680,4320,4302.79,4312.3,0.232407,0.231895
CUDA,Win64,Release,7680,4320,18.557,29.3633,53.888,34.0561
CUDA,Win64,Release,7680,4320,24.1879,33.9121,41.343,29.488
CUDA,Win64,Release,7680,4320,19.5173,29.5636,51.2366,33.8254
CUDA,Win64,Release,7680,4320,19.721,31.6873,50.7074,31.5584
CUDA,Win64,Release,7680,4320,22.3355,32.2483,44.7718,31.0094
CUDA,Win64,Release,7680,4320,18.6989,28.3225,53.4791,35.3076
CUDA,Win64,Release,7680,4320,17.9144,27.4384,55.821,36.4453
CUDA,Win64,Release,7680,4320,19.1367,28.6803,52.2556,34.8671
CUDA,Win64,Release,7680,4320,18.4941,28.8845,54.0713,34.6206
CUDA,Win64,Release,7680,4320,19.0572,28.6082,52.4736,34.955
CUDA,Win64,Release,7680,4320,19.2423,29.2655,51.9688,34.1699
CUDA,Win64,Release,7680,4320,17.4714,26.6085,57.2364,37.582
CUDA,Win64,Release,7680,4320,18.9617,29.2152,52.7379,34.2288
